date, pm25, pm10, o3, no2, so2, co
2019/5/9, 85, 48, 44, 42, 6, 4
2019/5/10, 100, 56, 40, 46, , 4
2019/5/11, 120, 53, 62, 38, 5, 4
2019/5/12, 121, 53, 25, 46, 6, 4
2019/5/13, 126, 39, 33, 39, 6, 3
2019/5/14, 97, 58, 38, 43, 6, 4
2019/5/15, 137, 54, 40, 45, 5, 4
2019/5/16, 121, 50, 30, 50, 6, 3
2019/5/17, 115, 29, 22, 36, 5, 3
2019/5/18, 60, 12, 21, 22, , 2
2019/5/19, 35, 30, 22, 20, 5, 1
2019/5/20, 42, 46, 38, 28, 108, 3
2019/5/21, 58, 50, 42, 34, , 3
2019/5/22, 84, 58, 51, 47, 10, 4
2019/5/23, 118, 64, 90, 51, 4, 5
2019/5/24, 140, 68, 42, 40, 4, 4
2019/5/25, 144, 44, 42, 38, 4, 3
2019/5/26, 89, 22, 22, 28, 4, 2
2019/5/27, 52, 21, 27, 27, 4, 2
2019/5/28, 32, 39, 34, 37, 4, 3
2019/5/29, 66, 44, 44, 37, 5, 4
2019/5/30, 81, 19, 37, 25, , 1
2019/5/31, 42, 29, 39, 30, , 2
2019/6/1, 71, 34, 57, 29, , 3
2019/6/2, 75, 41, 46, 42, 7, 3
2019/6/3, 83, 30, 33, 36, 7, 3
2019/6/4, 69, 44, 43, 38, 6, 3
2019/6/5, 92, 51, 30, 42, 6, 5
2019/6/6, 119, 13, 41, 32, 6, 3
2019/6/7, 27, 23, 41, 34, 7, 3
2019/6/8, 55, 31, 52, 31, 7, 3
2019/6/9, 83, 11, 26, 26, 6, 2
2019/6/10, 18, 13, 30, 31, 7, 3
2019/6/11, 27, 29, 36, 32, 6, 3
2019/6/12, 57, 28, 43, 38, 7, 3
2019/6/13, 68, 30, 38, 37, 6, 3
2019/6/14, 73, 30, 36, 28, 6, 3
2019/6/15, 65, 14, 43, 22, 6, 2
2019/6/16, 35, 20, 38, 29, 8, 2
2019/6/17, 52, 25, 21, 40, 5, 4
2019/6/18, 65, 26, 39, 27, 6, 2
2019/6/19, 74, 24, 45, , 6, 3
2019/6/20, 67, 23, 34, 27, 6, 3
2019/6/21, 62, 12, 29, 32, 6, 3
2019/6/22, 24, 12, 34, 25, 6, 3
2019/6/23, 30, 20, 49, 34, 6, 2
2019/6/24, 54, 26, 51, 39, 6, 3
2019/6/25, 67, 37, 36, 49, 7, 4
2019/6/26, 86, 22, 38, 32, 7, 2
2019/6/27, 57, 39, 35, 40, 7, 3
2019/6/28, 107, 24, 28, 33, 7, 3
2019/6/29, 66, 32, 37, 25, 6, 3
2019/6/30, 82, 34, 44, 29, 6, 3
2019/1/1, 75, 28, 10, 27, 5, 6
2019/1/2, 67, 39, 4, 33, 6, 9
2019/1/3, 84, 47, 3, 36, 6, 10
2019/1/4, 111, 50, 15, 25, 5, 7
2019/1/5, 105, 43, 11, 26, 6, 6
2019/1/6, 73, 45, 9, 31, 6, 9
2019/1/7, 95, 29, 17, 21, 6, 5
2019/1/8, 53, 40, 13, 24, 7, 6
2019/1/9, 60, 49, 6, 30, 7, 8
2019/1/10, 100, 53, 7, 34, 7, 9
2019/1/11, 126, 65, 12, 34, 7, 10
2019/1/12, 153, 72, 14, 34, 7, 11
2019/1/13, 159, 102, 6, 40, 7, 15
2019/1/14, 187, 86, 16, 23, 7, 9
2019/1/15, 141, 42, 14, 19, 6, 4
2019/1/16, 57, 32, 14, 27, 6, 6
2019/1/17, 65, 41, 8, 33, 7, 8
2019/1/18, 91, 67, 8, 35, 8, 11
2019/1/19, 153, 51, 19, 18, 6, 6
2019/1/20, 91, 40, 10, 27, 6, 6
2019/1/21, 70, 51, 10, 31, 7, 8
2019/1/22, 88, 54, 17, 29, 7, 9
2019/1/23, 108, 37, 11, 28, 6, 6
2019/1/24, 63, 43, 17, 25, 7, 7
2019/1/25, 76, 35, 19, 17, 6, 4
2019/1/26, 63, 36, 14, 24, 6, 6
2019/1/27, 72, 55, 17, 23, 6, 4
2019/1/28, 72, 54, 9, 41, 6, 6
2019/1/29, 71, 52, 9, 48, 6, 8
2019/1/30, 97, 56, 13, 29, 6, 5
2019/1/31, 73, 37, 13, 35, 6, 6
2019/2/1, 58, 47, 7, 45, 6, 8
2019/2/2, 99, 32, 15, 37, , 7
2019/2/3, 82, 54, 21, 23, 5, 4
2019/2/4, 100, 57, 16, 37, 7, 6
2019/2/5, 76, 66, 15, 39, 7, 6
2019/2/6, 89, 47, 21, 23, 5, 4
2019/2/7, 85, 27, 20, 26, 6, 5
2019/2/8, 54, 29, 18, 25, 6, 4
2019/2/9, 58, 35, 17, 28, , 5
2019/2/10, 72, 34, 18, 30, 5, 5
2019/2/11, 72, 44, 17, 38, 6, 7
2019/2/12, 95, 36, 22, 30, 6, 5
2019/2/13, 71, 42, 15, 39, 7, 6
2019/2/14, 77, 34, 15, 40, 6, 5
2019/2/15, 88, 49, 24, 26, 6, 7
2019/2/16, 126, 35, 23, 29, 6, 5
2019/2/17, 88, 35, 7, 43, 6, 6
2019/2/18, 80, 33, 8, 41, 6, 6
2019/2/19, 100, 42, 21, 33, 7, 5
2019/2/20, 115, 63, 14, 45, 6, 9
2019/2/21, 159, 58, 17, 44, 6, 8
2019/2/22, 140, 47, 20, 43, 6, 8
2019/2/23, 105, 45, 28, 38, 7, 6
2019/2/24, 114, 60, 22, 41, 6, 7
2019/2/25, 142, 47, 18, 40, 7, 6
2019/2/26, 91, 55, 17, 48, 9, 6
2019/2/27, 123, 65, 27, 48, 7, 7
2019/2/28, 145, 76, 35, 50, 7, 8
2019/3/1, 163, 76, 33, 50, 7, 8
2019/3/2, 163, 72, 34, 46, 7, 8
2019/3/3, 156, 92, 33, 52, 7, 8
2019/3/4, 174, 110, 28, 37, 7, 7
2019/3/5, 202, 88, 25, 46, 7, 7
2019/3/6, 178, 47, 26, 36, 6, 5
2019/3/7, 103, 44, 19, 42, 7, 4
2019/3/8, 90, 38, 13, 48, 8, 5
2019/3/9, 93, 49, 24, 39, 7, 5
2019/3/10, 117, 53, 21, 40, 7, 5
2019/3/11, 121, 56, 24, 29, 5, 4
2019/3/12, 120, 35, 21, 24, , 2
2019/3/13, 47, 33, 19, 34, 6, 4
2019/3/14, 69, 39, 15, 36, 6, 4
2019/3/15, 94, 35, 17, 29, 5, 3
2019/3/16, 89, 29, 25, 26, 6, 3
2019/3/17, 74, 34, 11, 42, 6, 5
2019/3/18, 84, 50, 13, 45, 6, 6
2019/3/19, 74, 71, 8, 50, 6, 7
2019/3/20, 104, 26, 22, 28, , 3
2019/3/21, 74, 35, 23, 22, 5, 2
2019/3/22, 82, 24, 23, 27, 6, 3
2019/3/23, 63, 23, 27, 25, 5, 3
2019/3/24, 60, 38, 26, 38, 6, 4
2019/3/25, 101, 46, 26, 45, 6, 4
2019/3/26, 119, 60, 36, , 6, 5
2019/3/27, 159, 56, 26, 27, , 3
2019/3/28, 137, 34, 29, 28, , 3
2019/3/29, 77, 30, 28, 25, 5, 3
2019/3/30, 84, 38, 26, 18, , 2
2019/3/31, 91, 24, 26, 29, 6, 4
2018/10/1, 39, 24, 23, 24, 4, 5
2018/10/2, 54, 24, 24, 25, 4, 6
2018/10/3, 57, 20, 17, 27, 4, 5
2018/10/4, 49, 12, 14, 27, , 4
2018/10/5, 34, 8, 23, 21, , 4
2018/10/6, 20, 20, 23, 17, 11, 4
2018/10/7, 34, 23, 15, 25, 4, 5
2018/10/8, 37, 24, 11, 25, , 5
2018/10/9, 45, 17, 14, 19, , 4
2018/10/10, 45, 25, 28, 18, 5, 6
2018/10/11, 34, 24, 10, 23, 6, 4
2018/10/12, 50, 27, 16, 26, 6, 4
2018/10/13, 65, 26, 29, 24, 6, 4
2018/10/14, 69, 46, 27, 31, 6, 5
2018/10/15, 101, 51, 15, 31, 6, 5
2018/10/16, 105, 34, 17, 27, 6, 4
2018/10/17, 66, 17, 10, 23, 6, 4
2018/10/18, 41, 18, 16, 24, 6, 4
2018/10/19, 39, 34, 14, 30, 6, 5
2018/10/20, 67, 32, 24, 28, 6, 4
2018/10/21, 69, 41, 18, 36, 7, 5
2018/10/22, 90, 44, 14, 32, 6, 6
2018/10/23, 93, 39, 15, 27, 6, 5
2018/10/24, 65, 35, 14, 29, 6, 5
2018/10/25, 63, 33, 12, 29, 6, 4
2018/10/26, 64, 24, 17, 16, 6, 2
2018/10/27, 21, 12, 12, 23, , 4
2018/10/28, 30, 15, 14, 19, 6, 3
2018/10/29, 30, 21, 12, 19, 7, 4
2018/10/30, 42, 20, 16, 21, 6, 4
2018/10/31, 46, 35, 10, 28, 6, 6
2018/11/1, 71, 38, 12, 33, 7, 7
2018/11/2, 79, 40, 11, 35, 7, 7
2018/11/3, 88, 37, 23, 30, 6, 6
2018/11/4, 85, 47, 9, 35, 6, 7
2018/11/5, 99, 65, 6, 39, 6, 7
2018/11/6, 143, 47, 5, 31, 5, 4
2018/11/7, 111, 7, 8, 25, 4, 2
2018/11/8, 20, 31, 20, 19, 6, 2
2018/11/9, 63, 54, 21, 27, 6, 4
2018/11/10, 128, 50, 10, 24, 6, 4
2018/11/11, 119, 25, 11, 27, 6, 5
2018/11/12, 54, 36, 11, 29, 6, 8
2018/11/13, 76, 31, 13, 29, 6, 8
2018/11/14, 67, 39, 9, 33, 6, 9
2018/11/15, 96, 48, 14, 29, 6, 9
2018/11/16, 117, 31, 13, 23, 6, 8
2018/11/17, 70, 34, 10, 25, 6, 9
2018/11/18, 79, 46, 10, 28, 6, 10
2018/11/19, 96, 42, 10, 31, 7, 8
2018/11/20, 69, 31, 8, 29, 6, 8
2018/11/21, 60, 18, 17, 20, 6, 6
2018/11/22, 39, 26, 10, 28, 7, 8
2018/11/23, 53, 21, 6, 27, 6, 8
2018/11/24, 53, 36, 4, 27, 6, 10
2018/11/25, 98, 51, 8, 28, 6, 11
2018/11/26, 123, 76, 5, 28, 6, 11
2018/11/27, 137, 91, 13, 27, 7, 8
2018/11/28, 75, 64, 4, 30, 7, 10
2018/11/29, 73, 56, 7, 31, 6, 9
2018/11/30, 79, 43, 6, 32, 6, 10
2018/12/1, 78, 45, 6, 29, 6, 11
2018/12/2, 83, 39, , 33, 6, 12
2018/12/3, 78, 28, 13, 21, 5, 6
2018/12/4, 56, 24, 16, 20, 5, 4
2018/12/5, 48, 33, 13, 21, 6, 4
2018/12/6, 60, 15, 19, 14, , 3
2018/12/7, 28, 18, 17, 15, 6, 3
2018/12/8, 35, 21, 18, 19, 6, 4
2018/12/9, 46, 34, 8, 30, 6, 7
2018/12/10, 68, 39, 5, 31, 6, 7
2018/12/11, 82, 40, 15, 25, 7, 5
2018/12/12, 75, 34, 15, 26, 6, 6
2018/12/13, 75, 29, 8, 26, 5, 6
2018/12/14, 65, 48, 4, 31, 5, 10
2018/12/15, 106, 44, 3, 31, , 8
2018/12/16, 114, 55, 10, 26, 5, 7
2018/12/17, 118, 39, 7, 33, 7, 8
2018/12/18, 84, 42, 9, 35, 6, 9
2018/12/19, 88, 47, 6, 35, 7, 9
2018/12/20, 103, 55, 3, 37, 7, 10
2018/12/21, 121, 63, 8, 40, 7, 11
2018/12/22, 153, 45, 19, 22, 6, 6
2018/12/23, 94, 20, 14, 18, 6, 5
2018/12/24, 42, 29, 4, , 6, 6
2018/12/25, 70, 37, 14, , 6, 5
2018/12/26, 71, 22, 18, 15, 6, 3
2018/12/27, 29, 26, 14, 16, 6, 4
2018/12/28, 43, 29, 16, 16, 6, 3
2018/12/29, 29, 28, 11, 23, 6, 6
2018/12/30, 58, , , , , 
2018/7/1, 16, 6, 20, 37, 4, 5
2018/7/2, 19, 6, 20, 27, , 5
2018/7/3, 12, 8, 29, 30, , 4
2018/7/4, 13, 3, 18, 27, , 5
2018/7/5, 26, , 11, 24, , 4
2018/7/7, 9, , 20, 21, , 4
2018/7/8, 11, , 11, 19, 2, 5
2018/7/9, 13, 18, 19, 25, 2, 4
2018/7/10, 46, 11, 24, 22, 2, 5
2018/7/11, 53, 12, 28, 17, 2, 4
2018/7/12, 48, 22, 28, 23, 2, 3
2018/7/13, 44, 20, 29, 22, 2, 2
2018/7/14, 49, 23, 37, 23, 2, 3
2018/7/15, 58, 29, 34, 28, 4, 3
2018/7/16, 66, 29, 20, 25, 4, 3
2018/7/17, 71, 36, 27, 30, 4, 3
2018/7/18, 80, 31, 24, 29, 3, 3
2018/7/19, 70, 40, 53, 45, 3, 4
2018/7/20, 80, 37, 44, 43, 4, 4
2018/7/21, 74, 32, 39, 34, , 4
2018/7/22, 65, 35, 29, 34, 4, 3
2018/7/23, 67, 41, 53, 42, , 4
2018/7/24, 86, 32, 26, 25, , 2
2018/7/25, 69, 43, 27, 35, 4, 4
2018/7/26, 78, 43, 42, 34, 5, 4
2018/7/27, 84, 35, 36, 26, 12, 4
2018/7/28, 73, 21, 15, 26, 4, 3
2018/7/29, 49, 14, 14, 27, 4, 3
2018/7/30, 28, 20, 28, 35, 4, 3
2018/7/31, 39, 32, 39, 40, 5, 4
2018/8/1, 57, 42, 61, 44, 5, 5
2018/8/2, 79, 46, 51, 39, 4, 3
2018/8/3, 90, 29, 27, 27, , 2
2018/8/4, 63, 25, 19, 16, 4, 
2018/8/5, 55, 30, 20, 29, 4, 2
2018/8/6, 60, 21, 29, 32, 6, 2
2018/8/7, 45, 28, 17, 28, 5, 2
2018/8/8, 61, 23, 18, 25, 4, 2
2018/8/9, 53, 17, 26, 21, 5, 6
2018/8/10, 40, 13, 21, 26, 1, 3
2018/8/11, 28, 17, 26, 21, 1, 2
2018/8/12, 39, 36, 24, 26, 1, 3
2018/8/13, 69, 34, 22, 32, 1, 3
2018/8/14, 65, 34, 32, 27, 1, 2
2018/8/15, 63, 22, 15, 22, , 2
2018/8/16, 41, 18, 18, 21, , 2
2018/8/17, 26, 19, 27, 23, 1, 3
2018/8/18, 31, 25, 41, 24, , 3
2018/8/19, 44, 37, 30, 33, 4, 3
2018/8/20, 64, 33, 23, 23, 4, 3
2018/8/21, 52, 27, 21, 30, 4, 3
2018/8/22, 50, 21, 10, 17, 5, 2
2018/8/23, 39, 10, 16, 15, 4, 2
2018/8/24, 21, 24, 31, 18, 4, 3
2018/8/25, 47, 21, 25, 20, 4, 3
2018/8/26, 45, 11, 21, 14, 4, 7
2018/8/27, 29, 13, 43, 8, 1, 13
2018/8/28, 23, 15, 25, 20, 2, 3
2018/8/29, 34, 25, 27, 24, , 4
2018/8/30, 54, 26, 25, 28, , 4
2018/8/31, 57, 21, 14, 23, 2, 4
2018/9/1, 44, 15, 21, 20, , 3
2018/9/2, 30, 17, 13, 24, , 4
2018/9/3, 39, 17, 18, 23, 4, 4
2018/9/4, 37, 27, 27, 23, 5, 3
2018/9/5, 47, 27, 36, 27, 5, 5
2018/9/6, 52, 22, 31, 22, 5, 4
2018/9/7, 42, 25, 20, 24, 31, 5
2018/9/8, 47, 21, 30, 22, 74, 4
2018/9/9, 44, 14, 17, 23, 1, 4
2018/9/10, 29, 15, 14, 22, 1, 4
2018/9/11, 32, 16, 19, 26, 1, 4
2018/9/12, 33, 22, 12, 29, 1, 4
2018/9/13, 46, 20, 10, 27, 1, 4
2018/9/14, 46, 14, 13, 23, , 3
2018/9/15, 31, 27, 30, 18, , 4
2018/9/16, 65, 24, 23, 25, , 4
2018/9/17, 57, 31, 18, 31, 1, 5
2018/9/18, 61, 35, 15, 33, 1, 6
2018/9/19, 69, 15, 13, 27, 1, 5
2018/9/20, 38, 10, 16, 25, 2, 6
2018/9/21, 24, 28, 27, , 4, 4
2018/9/22, 42, 27, 30, 19, 4, 4
2018/9/23, 42, 15, 20, 17, 4, 4
2018/9/24, 31, 15, 18, 17, 4, 4
2018/9/25, 36, 10, 18, 17, , 4
2018/9/26, 26, 12, 17, 22, , 4
2018/9/27, 30, 17, 11, 24, , 5
2018/9/28, 33, 16, 19, 23, 4, 5
2018/9/29, 41, 19, 25, 18, 4, 3
2018/9/30, 44, 18, 21, 16, 4, 4
2018/4/1, 114, 62, 25, 27, 7, 5
2018/4/2, 102, 65, 15, 31, 6, 5
2018/4/3, 78, 19, 18, 27, 5, 5
2018/4/4, 35, 9, 16, 29, 5, 5
2018/4/5, 29, 82, 20, 26, 5, 5
2018/4/6, 86, 49, 24, 24, 5, 5
2018/4/7, 82, 30, 25, 28, 6, 5
2018/4/8, 59, 32, 16, 38, 5, 7
2018/4/9, 73, 48, 31, 29, 6, 6
2018/4/10, 64, 54, 30, 25, 6, 5
2018/4/11, 85, 42, 26, 35, 7, 6
2018/4/12, 61, 39, 17, 44, 6, 7
2018/4/13, 62, 23, 22, 30, 4, 5
2018/4/14, 52, 61, 27, 23, 5, 5
2018/4/15, 74, 39, 25, 33, 6, 6
2018/4/16, 77, 55, 30, 40, 6, 6
2018/4/17, 90, 63, 34, 44, 5, 5
2018/4/18, 95, 71, 45, 50, 7, 6
2018/4/19, 117, 78, 52, 57, 8, 7
2018/4/20, 136, 59, 30, 52, 6, 8
2018/4/21, 108, 41, 21, 38, 4, 5
2018/4/22, 77, 12, 32, 35, , 4
2018/4/23, 37, 15, 22, 38, , 4
2018/4/24, 35, 37, 30, 40, 4, 5
2018/4/25, 82, 47, 36, 40, 5, 6
2018/4/26, 95, 44, 39, 40, 6, 5
2018/4/27, 97, 48, 31, 43, 5, 6
2018/4/28, 98, 46, 53, 37, 6, 5
2018/4/29, 89, 61, 37, 47, 6, 6
2018/4/30, 141, 55, 29, 37, 4, 6
2018/5/1, 130, 37, 20, 32, , 6
2018/5/2, 97, 22, 25, 26, , 4
2018/5/3, 48, 42, 32, 30, 5, 4
2018/5/4, 64, 40, 52, 33, 6, 5
2018/5/5, 71, 17, 37, 27, , 4
2018/5/6, 47, 35, 27, 31, 5, 5
2018/5/7, 70, 23, 26, 35, 4, 5
2018/5/8, 42, 22, 28, 31, , 4
2018/5/9, 40, 45, 37, 32, 6, 4
2018/5/10, 73, 45, 35, 38, 5, 5
2018/5/11, 92, 28, 11, 46, 4, 6
2018/5/12, 62, 20, 28, 22, 5, 4
2018/5/13, 54, 50, 39, 40, 5, 7
2018/5/14, 114, 61, 42, 45, 5, 8
2018/5/15, 136, 35, 15, 31, 4, 5
2018/5/16, 86, 16, 17, 31, 4, 5
2018/5/17, 44, 12, 10, 25, , 5
2018/5/18, 31, 16, 19, 30, , 5
2018/5/19, 33, 19, 17, 33, , 7
2018/5/20, 42, 22, 24, 36, 4, 4
2018/5/21, 48, 36, 25, 33, 5, 5
2018/5/22, 81, 38, 29, 28, , 4
2018/5/23, 45, 74, 40, 37, 7, 5
2018/5/24, 91, 73, 42, 45, 6, 6
2018/5/25, 108, 66, 72, 50, 5, 7
2018/5/26, 114, 61, 45, 36, 6, 5
2018/5/27, 102, 49, 42, 39, 5, 4
2018/5/28, 83, 42, 30, 32, 7, 4
2018/5/29, 95, 42, 27, 32, 4, 4
2018/5/30, 78, 39, 31, 32, 5, 4
2018/5/31, 77, 43, 33, 43, 5, 5
2018/6/1, 81, 40, 35, 42, 5, 5
2018/6/2, 80, 34, 39, 38, 4, 4
2018/6/3, 75, 44, 28, 43, 7, 7
2018/6/4, 92, 44, 45, 35, 6, 4
2018/6/5, 106, 46, 37, 33, 6, 4
2018/6/6, 115, 42, 32, 31, 5, 4
2018/6/7, 100, 27, 25, 24, 4, 4
2018/6/8, 70, , 27, 25, 4, 5
2018/6/10, 5, 11, 18, 14, 4, 4
2018/6/11, 20, 16, 24, 17, 4, 4
2018/6/12, 25, 20, 33, 26, 5, 5
2018/6/13, 59, 18, 18, 23, 4, 5
2018/6/14, 60, 9, 10, 20, 4, 5
2018/6/15, 39, 9, 35, 21, , 4
2018/6/16, 26, 23, 41, 29, , 5
2018/6/17, 77, 27, 40, 35, 6, 5
2018/6/18, 73, 25, 34, 35, 7, 8
2018/6/19, 67, 26, 29, 28, 5, 4
2018/6/20, 71, 22, 29, 28, 4, 4
2018/6/21, 59, 27, 42, 37, 5, 5
2018/6/22, 62, 20, 40, 38, 7, 5
2018/6/23, 50, 33, 60, 25, 6, 5
2018/6/24, 90, 35, 48, 51, 5, 6
2018/6/25, 83, 31, 40, 39, 6, 6
2018/6/26, 92, 15, 36, 27, 5, 5
2018/6/27, 52, 10, 26, 31, 4, 5
2018/6/28, 42, 14, 43, 36, 4, 5
2018/6/29, 54, 24, 29, 40, 4, 7
2018/6/30, 88, 8, 15, 27, 4, 4
2018/2/25, 91, 38, 20, 32, 6, 6
2018/2/26, 117, 52, 9, 49, 9, 8
2018/2/27, 149, 73, , 62, 11, 14
2018/2/28, 108, 53, 6, 44, 7, 10
2018/3/1, 95, 36, 25, 23, 5, 6
2018/3/2, 104, 56, 22, 38, 8, 7
2018/3/3, 100, 54, 14, 42, 7, 7
2018/3/4, 61, 35, 11, 34, 6, 7
2018/3/5, 52, 15, 24, 29, 4, 5
2018/3/6, 64, 32, 18, 35, 6, 6
2018/3/7, 65, 33, 13, 36, 5, 6
2018/3/8, 76, 29, 19, 28, 5, 6
2018/3/9, 94, 42, 15, 35, 6, 6
2018/3/10, 101, 48, 18, 37, 6, 8
2018/3/11, 106, 48, 26, 31, 6, 6
2018/3/12, 126, 67, 19, 49, 8, 8
2018/3/13, 113, 59, 26, 41, 6, 8
2018/3/14, 54, 29, 18, 32, 6, 5
2018/3/15, 57, 21, 12, 30, 5, 5
2018/3/16, 25, 18, 21, 28, 5, 5
2018/3/17, 56, 30, 15, 36, 5, 6
2018/3/18, 97, 47, 10, 43, 7, 7
2018/3/19, 62, 30, 14, 35, 5, 6
2018/3/20, 41, 27, 23, 29, 4, 4
2018/3/21, 34, 17, 24, 31, 4, 4
2018/3/22, 82, 40, 22, 34, 7, 6
2018/3/23, 124, 56, 27, 43, 7, 8
2018/3/24, 161, 79, 30, 49, 8, 9
2018/3/25, 168, 84, 35, 36, 8, 9
2018/3/26, 145, 78, 26, 51, 7, 9
2018/3/27, 141, 71, 35, 47, 7, 9
2018/3/28, 115, 53, 28, 38, 7, 8
2018/3/29, 105, 59, 22, 34, 6, 6
2018/3/30, 118, 59, 28, 37, 6, 6
2018/3/31, 104, 54, 28, 38, 7, 6
2016/10/1, 90, 31, 8, 34, 5, 6
2016/10/2, 64, 18, 17, 32, , 5
2016/10/3, 37, 34, 12, 40, , 6
2016/10/4, 64, 32, 17, 37, 5, 6
2016/10/5, 55, 47, 24, 37, 6, 7
2016/10/6, 76, 31, 10, 38, , 7
2016/10/7, 57, 24, 21, 33, 5, 5
2016/10/8, 46, 20, 19, 24, 5, 5
2016/10/9, 33, 32, 17, 34, 6, 6
2016/10/10, 40, 43, 15, 46, 6, 7
2016/10/11, 95, 54, 21, 41, 6, 7
2016/10/12, 100, 47, 12, 46, 6, 8
2016/10/13, 80, 63, 12, 52, 7, 10
2016/10/14, 115, 69, 19, 52, 6, 10
2016/10/15, 143, 54, 7, 40, 6, 8
2016/10/16, 110, 50, 20, 37, 5, 8
2016/10/17, 96, 51, 16, 39, 5, 8
2016/10/18, 89, 58, 25, 51, 6, 8
2016/10/19, 112, 59, 21, 49, 6, 9
2016/10/20, 118, 25, 16, 36, 5, 6
2016/10/21, 51, 34, 14, 37, 5, 6
2016/10/22, 64, 15, 17, 30, 4, 5
2016/10/23, 26, 22, 13, 32, 5, 6
2016/10/24, 42, 19, 11, 31, 5, 6
2016/10/25, 42, 40, 5, 28, 5, 10
2016/10/26, 68, 49, 7, 29, , 9
2016/10/27, 81, 43, 14, 31, 6, 7
2016/10/28, 68, 36, 18, 29, 6, 5
2016/10/29, 57, 34, 5, 29, 4, 6
2016/10/30, 17, 33, 8, 33, 6, 6
2016/10/31, 59, 25, 15, 30, 5, 5
2016/11/1, 18, 46, 9, 40, 6, 7
2016/11/2, 67, 43, 10, 44, 7, 8
2016/11/3, 82, 59, 18, 47, 7, 8
2016/11/4, 106, 64, 26, 48, 7, 8
2016/11/5, 125, 33, 13, 35, 6, 7
2016/11/6, 61, 34, 11, 35, 7, 6
2016/11/7, 65, 56, 17, 30, 6, 6
2016/11/8, 113, 42, 15, 33, 6, 6
2016/11/9, 69, 49, 3, 37, 6, 9
2016/11/10, 92, 45, 12, 39, 5, 7
2016/11/11, 77, 66, 16, 41, 7, 9
2016/11/12, 98, 60, 13, 45, 6, 9
2016/11/13, 99, 56, 4, 37, 6, 10
2016/11/14, 95, 57, 16, 30, 6, 6
2016/11/15, 75, 56, 4, 40, 7, 9
2016/11/16, 89, 68, 6, 42, 8, 11
2016/7/1, 62, 15, 28, 34, 5, 4
2016/7/2, 54, 39, 31, 35, 5, 6
2016/7/3, 86, 29, 15, 46, 5, 6
2016/7/4, 63, 15, 49, 34, 5, 6
2016/7/5, 56, 19, 24, 38, 5, 5
2016/7/6, 41, 40, 28, 53, 6, 8
2016/7/7, 89, 52, 36, 58, 5, 8
2016/7/8, 114, 41, 15, 50, 5, 8
2016/7/9, 67, 38, 38, 42, 6, 6
2016/7/10, 70, 51, 39, 54, 5, 8
2016/7/11, 108, 41, 40, 51, 7, 7
2016/7/12, 97, 37, 21, 40, 5, 6
2016/7/13, 78, 29, 26, 46, 5, 6
2016/7/14, 67, 24, 17, 45, 4, 7
2016/7/15, 48, 14, 15, 32, 4, 7
2016/7/16, 29, 15, 20, 23, 8, 4
2016/7/17, 41, 28, 17, 36, 6, 6
2016/7/18, 69, 37, 31, 50, 4, 7
2016/7/19, 75, 40, 28, 59, 5, 8
2016/7/20, 76, 33, 20, 53, 5, 7
2016/7/21, 67, 40, 28, 62, 5, 8
2016/7/22, 78, 44, 64, 50, 4, 7
2016/7/23, 88, 36, 32, 32, 4, 6
2016/7/27, 79, 46, 31, 40, 5, 7
2016/7/28, 144, 41, 14, 50, , 10
2016/7/29, 92, 40, 30, 44, , 7
2016/7/30, 93, 40, 18, 33, 6, 7
2016/7/31, 90, 38, 12, 39, 5, 7
2016/8/1, 81, 32, 11, 36, 5, 7
2016/8/2, 64, 31, 25, 42, 5, 6
2016/8/3, 66, 34, 21, 43, 6, 7
2016/8/4, 69, 41, 35, 59, 6, 8
2016/8/5, 74, 55, 49, 65, 5, 9
2016/8/6, 102, 47, 40, 46, 5, 7
2016/8/7, 114, 42, 23, 45, 6, 7
2016/8/8, 76, 33, 29, 47, 5, 5
2016/8/9, 62, 50, 32, 54, 6, 5
2016/8/10, 107, 39, 21, 42, 6, 5
2016/8/11, 76, 45, 27, 47, 6, 5
2016/8/12, 78, 40, 22, 32, 6, 4
2016/8/13, 73, 40, 14, 27, , 3
2016/8/14, 85, 42, 24, 37, 6, 4
2016/8/15, 80, 51, 33, 54, 6, 6
2016/8/16, 94, 47, 26, 53, 6, 5
2016/8/17, 89, 56, 28, 67, 6, 6
2016/8/18, 110, 63, 25, 71, 6, 6
2016/8/19, 126, 44, 26, 60, , 6
2016/8/20, 62, 30, 37, 46, , 5
2016/8/21, 50, 36, 34, 59, , 5
2016/8/22, 57, 38, 22, 58, , 6
2016/8/23, 72, 39, 26, 66, 6, 7
2016/8/24, 83, 41, 23, 55, 6, 7
2016/8/25, 78, 23, 18, 44, , 6
2016/8/26, 36, 19, 16, 44, 5, 6
2016/8/27, 34, 15, 18, 30, 4, 5
2016/8/28, 27, 21, 13, 36, 5, 5
2016/8/29, 37, 35, 14, 36, 4, 6
2016/8/30, 45, 18, 15, 29, 5, 4
2016/8/31, 30, 55, 48, 49, 7, 8
2016/9/1, 84, 43, 26, 62, 6, 8
2016/9/2, 63, 26, 21, 51, 5, 8
2016/9/3, 53, 28, 22, 41, , 8
2016/9/4, 40, 36, 23, 49, 6, 7
2016/9/5, 50, 43, 4, 44, , 9
2016/9/6, 84, 30, 26, 69, 1, 9
2016/9/7, 134, 53, 19, 54, 6, 9
2016/9/8, 91, 48, 23, 53, 6, 8
2016/9/9, 86, 45, 26, 55, , 9
